Time (s),Airspeed Input (m/s),Distance Output (m),Altitude (m),Actual Airspeed (m/s)
88.20245623588562,13.0,247.2802255195387,19.568,13.149968147277832
88.40391302108765,13.0,247.10714132135377,19.573,13.150895118713379
88.60489273071289,13.0,245.33423985029756,19.578,13.171026229858398
88.80651354789734,13.0,245.16121236287674,19.584,13.163825988769531
89.00848150253296,13.0,248.36090152230753,19.584,13.163825988769531
89.20992803573608,13.0,248.18784590219622,19.589,13.156281471252441
89.41174054145813,13.0,248.02591448050833,19.594,13.15211009979248
89.61303234100342,13.0,247.85285999302198,19.598,13.137258529663086
89.81415963172913,13.0,251.05254800766187,19.598,13.137258529663086
90.01516103744507,16.0,250.89061796922874,19.602,13.151601791381836
90.21669054031372,16.0,250.72865884511126,19.606,13.135454177856445
90.4181957244873,16.0,248.95573150209384,19.611,13.17889404296875
90.61974430084229,16.0,252.15541851718015,19.611,13.17889404296875
90.82107019424438,16.0,251.7382525135164,19.639,13.62416934967041
91.02221322059631,16.0,250.9993419370189,19.735,14.77073860168457
91.22344517707825,16.0,250.14954646297528,19.92,15.34613037109375
91.42468047142029,16.0,253.34923287055884,19.92,15.34613037109375
91.62582874298096,16.0,252.41071278485427,20.206,15.917777061462402
91.82747960090637,16.0,249.85016526648684,20.575,16.140522003173828
92.02975106239319,16.0,248.889464154438,20.996,16.266374588012695
92.23146176338196,16.0,252.0891466366646,20.996,16.266374588012695
92.43288064002991,16.0,251.17282636293038,21.441,16.236860275268555
92.63419008255005,16.0,250.36738472991965,21.877,15.911136627197266
92.83586549758911,16.0,249.79489509046564,22.253,15.373576164245605
93.0376968383789,16.0,252.9945759721518,22.253,15.373576164245605
93.238774061203,16.0,252.65500392437656,22.537,14.387687683105469
93.44012975692749,16.0,252.50394198283976,22.713,13.769448280334473
93.64122438430786,16.0,252.44155328474292,22.774,13.012077331542969
93.84242963790894,16.0,254.04139697581113,22.774,13.012077331542969
94.04344391822815,16.0,254.08994992256768,22.722,12.485166549682617
94.24441528320312,16.0,254.1939787194955,22.573,12.277676582336426
94.44541144371033,16.0,254.28696620699898,22.346,12.191411018371582
94.64642930030823,16.0,257.48666276453974,22.346,12.191411018371582
94.84742546081543,16.0,257.5352826619806,22.067,12.25535774230957
95.04853701591492,16.0,257.5174104290785,21.76,12.527501106262207
95.24990653991699,16.0,257.41080940682525,21.455,12.761911392211914
95.45146989822388,16.0,257.21548549944845,21.178,13.17573070526123
95.65240836143494,16.0,260.4151876234095,21.178,13.17573070526123
95.85344457626343,16.0,258.50910419127666,20.951,13.461913108825684
96.0548357963562,16.0,258.1252206644435,20.787,13.867576599121094
96.25644159317017,16.0,257.6636980697023,20.694,14.10409164428711
96.45805168151855,16.0,260.8634000535959,20.694,14.10409164428711
96.6597032546997,16.0,260.3464050780998,20.673,14.39268970489502
96.86144065856934,16.0,259.79615480513604,20.714,14.536762237548828
97.06291604042053,16.0,259.2126258299139,20.805,14.680322647094727
97.26442909240723,16.0,262.41232617088804,20.805,14.680322647094727
97.46578335762024,16.0,261.85099115754934,20.932,14.73558235168457
97.66685104370117,16.0,261.2785668202225,21.084,14.742445945739746
97.86793112754822,16.0,259.1062800034037,21.245,14.735307693481445
98.06905150413513,16.0,262.30597804760686,21.245,14.735307693481445
98.27040529251099,16.0,261.76682701699815,21.403,14.660187721252441
98.47145938873291,16.0,261.238753351811,21.551,14.616907119750977
98.67297267913818,16.0,260.73284971161456,21.682,14.518577575683594
98.87446808815002,16.0,263.93254640434566,21.682,14.518577575683594
99.07575607299805,16.0,263.43771701378364,21.788,14.446246147155762
99.27743005752563,16.0,261.365228650498,21.869,14.375234603881836
99.47870707511902,16.0,260.89258866663346,21.923,14.34730052947998
99.68018412590027,16.0,264.09228536801425,21.923,14.34730052947998
99.88134384155273,16.0,263.6307400524128,21.953,14.333073616027832
100.08246111869812,16.0,263.15807981953174,21.962,14.316208839416504
100.28440427780151,16.0,262.68543984140115,21.953,14.325356483459473
100.48586845397949,16.0,265.88513689193877,21.953,14.325356483459473
100.68685269355774,16.0,265.41249690855153,21.931,14.343658447265625
100.88802218437195,16.0,264.9065930599724,21.899,14.41313648223877
101.0894603729248,16.0,264.4006691408745,21.861,14.461784362792969
101.29123783111572,16.0,266.000517570219,21.861,14.461784362792969
101.49245047569275,16.0,265.4724247184363,21.821,14.526811599731445
101.69346594810486,16.0,264.9221429389303,21.784,14.584427833557129
101.89482188224792,16.0,264.36078834422585,21.753,14.661624908447266
102.0961983203888,16.0,267.5604842441194,21.753,14.661624908447266
102.2974488735199,16.0,266.9769193720603,21.729,14.717516899108887
102.49845051765442,16.0,266.38223838472607,21.712,14.795825004577637
102.69989228248596,16.0,265.77648468911167,21.701,14.840250968933105
102.90117335319519,16.0,268.9761801616735,21.701,14.840250968933105
103.10212802886963,16.0,266.74836748971876,21.696,14.900200843811035
103.30385422706604,16.0,266.1204026096651,21.697,14.936387062072754
103.50544476509094,16.0,265.4813211345008,21.703,14.968108177185059
103.70713567733765,16.0,264.83114522717585,21.713,14.975887298583984
103.9088044166565,16.0,268.030841149442,21.713,14.975887298583984
104.1102020740509,16.0,267.38068687616595,21.726,15.002814292907715
104.31145167350769,16.0,266.73051139540047,21.739,15.025688171386719
104.51241445541382,16.0,266.08033615113527,21.75,15.040162086486816
104.71344423294067,16.0,269.2800326535847,21.75,15.040162086486816
104.9148154258728,16.0,267.0189353976546,21.758,15.031949043273926
105.1163387298584,16.0,266.3577074073004,21.762,15.060750007629395
105.31798148155212,16.0,265.6853428614872,21.765,15.073929786682129
105.5193498134613,16.0,268.88503933725025,21.765,15.073929786682129
105.72124195098877,16.0,268.22381121610607,21.766,15.087218284606934
105.9227454662323,16.0,267.5514888700733,21.763,15.083483695983887
106.12419724464417,16.0,266.8791669704717,21.756,15.088284492492676
106.32538056373596,16.0,270.0788627617186,21.756,15.088284492492676
106.52681016921997,16.0,269.40651936486296,21.744,15.10906982421875
106.72822332382202,16.0,268.7230813320236,21.73,15.133867263793945
106.92965173721313,16.0,266.43979547874324,21.713,15.153064727783203
107.13076972961426,16.0,269.63949123553283,21.713,15.153064727783203
107.33219122886658,16.0,268.9449585740692,21.694,15.17009449005127
107.53345561027527,16.0,268.25042594474036,21.675,15.195837020874023
107.7350823879242,16.0,267.54479867994974,21.657,15.226655960083008
107.9363911151886,16.0,270.74449450927403,21.657,15.226655960083008
108.13802814483643,16.0,270.0499618956639,21.64,15.255906105041504
108.33911514282227,16.0,269.33323997802967,21.621,15.265759468078613
